Ciudad;Fecha;Hora;EstadoDelCielo;Visibilidad;Temperatura;PuntoRocio;Humedad;Viento;Presion
Azul;25-julio-2025;08:00;Nublado con lluvia en la hora anterior;5 km;9.4;8.9; 98;Norte  5;996.4 / 
 Bahía Blanca;25-julio-2025;08:00;Algo nublado;15 km;8.4;5.3; 91;Noroeste  20;1002.6 / 
 Benito Juárez;24-julio-2025;21:00;Nublado;12 km;9.5;7.3; 86;Norte  14;990.6 / 
 Bolívar;25-julio-2025;08:00;Cubierto;15 km;9.6;No se calcula; 94;Este  3;1002.8 / 
 Campo de Mayo;24-julio-2025;21:00;Algo nublado;10 km;10;7.9; 88;Noreste  14;1014.6 / 
 Coronel Suarez;25-julio-2025;06:00;Cubierto;12 km;8.2;6.3; 97;Norte  11;985 / 
 Dolores;25-julio-2025;08:00;Nublado con llovizna y lluvia;7 km;10;No se calcula; 98;Norte  3;1014.2 / 
 El Palomar;25-julio-2025;08:00;Nublado con lluvia en la hora anterior;10 km;11.4;No se calcula; 91;Norte  3;1012.6 / 
 Ezeiza;25-julio-2025;08:00;Nublado con lluvia;5 km;11.7;No se calcula; 93;Noreste  9;1011.7 / 
 Junín;25-julio-2025;08:00;Cubierto;10 km;10.8;No se calcula; 89;Norte  5;1003.6 / 
 La Plata;25-julio-2025;08:00;Nublado con tormenta;8 km;11.2;No se calcula; 98;Norte  7;1012.4 / 
 Las Flores;25-julio-2025;06:00;Nublado con llovizna;6 km;10;No se calcula; 94;Este  3;1009.3 / 
 Mar del Plata;25-julio-2025;08:00;Nublado con lluvia;6 km;9.6;8.3; 100;Norte  9;1012.5 / 
 Mariano Moreno;25-julio-2025;08:00;Cubierto;10 km;10.8;No se calcula; 94;Norte  3;1009.8 / 
 Merlo;25-julio-2025;08:00;Cubierto con lluvia en la hora anterior;10 km;11.2;No se calcula; 89;Norte  5;1011.6 / 
 Morón;25-julio-2025;08:00;Nublado con lluvia;5 km;11.4;No se calcula; 90;Norte  5;1010.6 / 
 Nueve de Julio;25-julio-2025;06:00;Cubierto;15 km;10.9;No se calcula; 89;Norte  3;1004.1 / 
 Olavarría;25-julio-2025;08:00;Cubierto con neblina;3.0 km;9.2;8.2; 98;Norte  7;994.2 / 
 Pehuajó;25-julio-2025;08:00;Cubierto;15 km;9.9;9.0; 93;Este  7;1003.3 / 
 Pigué;24-julio-2025;21:00;Cubierto;15 km;8.6;5.2; 78;Noreste  24;977.4 / 
 Punta Indio B.A.;24-julio-2025;21:00;Cubierto con neblina;7 km;11;No se calcula; 94;Este  13;1016.5 / 
 San Fernando;25-julio-2025;08:00;Nublado;10 km;11.6;No se calcula; 85;Norte  9;1013.2 / 
 Tandil;25-julio-2025;08:00;Cubierto con llovizna;800 mts;7.8;7.1; 91;Norte  5;993.2 / 
 Trenque Lauquen;24-julio-2025;21:00;Cubierto;15 km;11.6;No se calcula; 78;Noreste  5;1002.4 / 
 Tres Arroyos;24-julio-2025;21:00;Cubierto con neblina;6 km;9.7;8.4; 80;Norte  9;1001.7 / 
 Villa Gesell;25-julio-2025;08:00;Nublado con lluvia;5 km;9;7.0; 97;Noroeste  13;1014.9 / 
 Aeroparque Buenos Aires;25-julio-2025;08:00;Nublado con lluvia en la hora anterior;10 km;11.9;No se calcula; 88;Norte  11;1013.8 / 
 Buenos Aires;25-julio-2025;08:00;Cubierto con llovizna;6 km;12.1;No se calcula; 87;Norte  9;1011.2 / 
 Catamarca;25-julio-2025;08:00;Cubierto con niebla en la hora anterior;1.5 km;6.2;No se calcula; 94;Noreste  3;957.7 / 
 Tinogasta;25-julio-2025;06:00;Despejado;20 km;-0.8;-4.0; 74;Sudeste  9;873.9 / 
 Pcia. Roque Saenz Peña;25-julio-2025;08:00;Cubierto con niebla;800 mts;16.2;No se calcula; 95;Calma;1001.7 / 
 Resistencia;25-julio-2025;08:00;Nublado con neblina;7 km;16.6;No se calcula; 98;Este  5;1007.7 / 
 Comodoro Rivadavia;25-julio-2025;08:00;Parcialmente nublado;30 km;-1.7;-7.7; 65;Sudoeste  22;1019.3 / 
 Esquel;25-julio-2025;08:00;Nublado con nevada;8 km;-1.9;No se calcula; 98;Direcciones Variables  1;925.4 / 
 Paso De Indios;24-julio-2025;21:00;Cubierto con llovizna;15 km;5.8;4.2; 93;Sudoeste  7;950.2 / 
 Puerto Madryn;25-julio-2025;08:00;Nublado con lluvia;7 km;4.2;-1.3; 96;Sur  33;999.6 / 
 Trelew;25-julio-2025;08:00;Nublado con llovizna;10 km;4.6;-0.4; 90;Sur  29;1013 / 
 Córdoba;25-julio-2025;08:00;Cielo invisible con niebla;200 mts;8;5.7; 100;Sur  13;953.4 / 
 Córdoba Observatorio;25-julio-2025;08:00;Cielo invisible con niebla;Menor a 100 mts;8.8;8.2; 98;Sur  5;961.4 / 
 Esc. Aviación Militar;25-julio-2025;08:00;Cielo invisible con niebla;500 mts;8.2;5.7; 100;Sur  14;953.4 / 
 Laboulaye;25-julio-2025;08:00;Cubierto con neblina;5 km;9.5;No se calcula; 93;Calma;996.8 / 
 Marcos Juárez;25-julio-2025;08:00;Cubierto con neblina;10 km;11.5;No se calcula; 93;Este  1;998.8 / 
 Pilar Obs.;25-julio-2025;08:00;Cubierto con niebla;100 mts;9;No se calcula; 100;Este  3;972.2 / 
 Río Cuarto;25-julio-2025;08:00;Cielo invisible con niebla;Menor a 100 mts;7.6;5.6; 97;Oeste  11;962.6 / 
 Villa Dolores;25-julio-2025;08:00;Cubierto con neblina;5 km;7;5.6; 97;Este  7;946.8 / 
 Villa María Del Río Seco;25-julio-2025;08:00;Cubierto con neblina;4.0 km;11.4;No se calcula; 89;Calma;972.2 / 
 Corrientes;25-julio-2025;08:00;Nublado con neblina;4.0 km;16.5;No se calcula; 98;Sudeste  11;1006.6 / 
 Ituzaingó;25-julio-2025;06:00;Cubierto con neblina;3.0 km;15.4;No se calcula; 100;Calma;1004.9 / 
 Mercedes;25-julio-2025;08:00;Nublado con lluvia;10 km;15;No se calcula; 98;Norte  13;1001.9 / 
 Monte Caseros;25-julio-2025;08:00;Nublado;20 km;13.8;No se calcula; 89;Este  13;1008 / 
 Paso De Los Libres;25-julio-2025;08:00;Cubierto;10 km;14.4;No se calcula; 86;Este  9;1007.3 / 
