"Fecha","Tipo","Descripcion"
"2008","EfemerideEvento","La Ley de Estabilización Económica de Emergencia de 2008 para el sistema financiero de EE. UU. es firmada por el presidente George W. Bush."
"2009","EfemerideEvento","Los presidentes de Azerbaiyán, Kazajistán, Kirguistán y Turquía firman el Acuerdo de Nakhchivan sobre el Establecimiento del Consejo Turco."
"2013","EfemerideEvento","Al menos 134 migrantes pierden la vida cuando su embarcación se hunde cerca de la isla italiana de Lampedusa."
"2015","EfemerideEvento","Cuarenta y dos fallecidos y 33 desaparecidos en un ataque aéreo contra un hospital en Kunduz, llevado a cabo por Médicos Sin Fronteras."
"2457 BC","EfemerideEvento","Gaecheonjeol, la fecha en que Hwanung descendió del cielo para vivir con la humanidad, se celebra como el Día de la Fundación Nacional de Corea del Sur."
"382","EfemerideEvento","El emperador romano Teodosio I concluye un tratado de paz con los godos y los establece en los Balcanes a cambio de servicio militar."
"42 BC","EfemerideEvento","Primera Batalla de Filipos: Los triunviros Marco Antonio y Octavio libran una batalla decisiva contra los asesinos de César, Bruto y Casio."
"52 BC","EfemerideEvento","Vercingetórix, líder de los galos, se rinde ante los romanos bajo Julio César, poniendo fin al asedio y la batalla de Alesia."
"1292","EfemerideNacimientos","Eleanor de Clare, noble inglesa (fallecida en 1337)"
"1078","EfemerideFallecimientos","Iziaslav I de Kiev (nacido en 1024) fue un destacado miembro de la dinastía Rurik, conocido por su papel en la historia de la Rusia antigua. Fue el hijo de Yaroslav el Sabio y ascendió al trono de Kiev en varias ocasiones durante su vida. Su reinado estuvo marcado por conflictos internos y luchas de poder entre los príncipes de diferentes regiones, lo que era común en esa época. Además, su gobierno se vio afectado por las tensiones con las potencias vecinas, lo que complicó la situación política en la región. A pesar de estas dificultades, tuvo un impacto significativo en la estructura del gobierno y en la unificación de las tierras eslavas bajo su mando. Iziaslav I falleció en 1078, dejando un legado importante en la historia de Ucrania y la antigua Rus."
